Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/ask,1,0,10.936700000456767,10.936700000456767,10.936700000456767,10.936700000456767,307.0,0.3760328611328097,0.0,11,11,11,11,11,11,11,11,11,11,11
POST,/api/courses/generate,2,0,3,4.48315000085131,2.868900000976282,6.0974000007263385,1646.5,0.7520657222656194,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/api/evaluate [código largo],1,0,4.612899998392095,4.612899998392095,4.612899998392095,4.612899998392095,307.0,0.3760328611328097,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/evaluate [código válido],1,0,2.86940000114555,2.86940000114555,2.86940000114555,2.86940000114555,307.0,0.3760328611328097,0.0,3,3,3,3,3,3,3,3,3,3,3
POST,/api/evaluate [javascript],1,0,4.0883999990910525,4.0883999990910525,4.0883999990910525,4.0883999990910525,307.0,0.3760328611328097,0.0,4,4,4,4,4,4,4,4,4,4,4
