Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786676100,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786676101,2,,Aggregated,0.000000,0.000000,11,11,11,11,11,11,11,11,11,11,11,2,0,6.0974000007263385,8.517050000591553,6.0974000007263385,10.936700000456767,923.5
1786676102,4,,Aggregated,0.000000,0.000000,4,4,6,6,11,11,11,11,11,11,11,6,0,3,4.950850000265443,2.6944000001094537,10.936700000456767,706.5
